dataset,model,mode,MASE,WQL,n_series,latency_s,ms_per_series,peak_mem_mb
monash_australian_electricity,chronos-2-oneshot-lora,univariate,0.5103607613201232,0.02246767172936449,5,0.817,163.4,334.7
monash_cif_2016,chronos-2-oneshot-lora,univariate,0.9286064095556547,0.011173703059670213,72,0.266,3.69,273.0
monash_car_parts,chronos-2-oneshot-lora,univariate,0.8194356799801846,0.925258607406247,1000,0.588,0.59,319.4
monash_covid_deaths,chronos-2-oneshot-lora,univariate,32.8031850674833,0.033290885624604145,266,0.513,1.93,454.8
dominick,chronos-2-oneshot-lora,univariate,0.9328730710516582,0.3356120792397567,1000,1.158,1.16,607.6
ercot,chronos-2-oneshot-lora,univariate,0.9513421262186208,0.029314000270495594,8,0.261,32.65,385.1
exchange_rate,chronos-2-oneshot-lora,univariate,1.4114526218843593,0.009781226396203511,8,0.34,42.44,379.2
monash_fred_md,chronos-2-oneshot-lora,univariate,0.6583297028125513,0.05491386728026051,107,0.378,3.53,440.3
monash_hospital,chronos-2-oneshot-lora,univariate,0.7498308408749572,0.04933501611913644,767,0.423,0.55,344.5
monash_m1_monthly,chronos-2-oneshot-lora,univariate,1.0287819756141219,0.17054588964955064,617,0.467,0.76,409.0
monash_m1_quarterly,chronos-2-oneshot-lora,univariate,1.6492930939482946,0.08055525548209849,203,0.41,2.02,333.3
monash_m1_yearly,chronos-2-oneshot-lora,univariate,3.312674515583578,0.10521118598804997,181,0.235,1.3,297.4
monash_m3_monthly,chronos-2-oneshot-lora,univariate,0.8518198430905194,0.08814392396147301,1000,0.665,0.67,397.4
monash_m3_quarterly,chronos-2-oneshot-lora,univariate,1.1642181200641153,0.07063605855757193,756,0.498,0.66,329.6
monash_m3_yearly,chronos-2-oneshot-lora,univariate,3.280651982195184,0.14847358691742013,645,0.425,0.66,319.4
m4_quarterly,chronos-2-oneshot-lora,univariate,1.1000846852066288,0.07077656149094584,1000,1.013,1.01,870.5
m4_yearly,chronos-2-oneshot-lora,univariate,2.9273268510395805,0.10661869691617573,1000,0.611,0.61,557.2
m5,chronos-2-oneshot-lora,univariate,0.9286905649633791,0.5443525457129819,1000,2.317,2.32,1898.6
nn5,chronos-2-oneshot-lora,univariate,0.5515448984908359,0.14320002628845166,111,0.453,4.08,465.8
monash_nn5_weekly,chronos-2-oneshot-lora,univariate,0.8805332056408561,0.08149275449515024,111,0.247,2.23,288.8
monash_tourism_monthly,chronos-2-oneshot-lora,univariate,1.4368199285971357,0.07510070455422391,366,0.56,1.53,559.2
monash_tourism_quarterly,chronos-2-oneshot-lora,univariate,1.8797811299173832,0.07533217838313137,427,0.382,0.89,382.6
monash_tourism_yearly,chronos-2-oneshot-lora,univariate,3.614198840117842,0.14544286589024558,518,0.452,0.87,319.4
monash_traffic,chronos-2-oneshot-lora,univariate,0.8075793233260851,0.24046422865605135,862,9.148,10.61,7028.3
monash_weather,chronos-2-oneshot-lora,univariate,0.7844683144668714,0.1304790225074708,1000,11.499,11.5,7028.3
