dataset,model,mode,MASE,WQL,n_series,n_grouped,n_groups,latency_s,ms_per_series,peak_mem_mb
monash_australian_electricity,amazon/chronos-2,univariate,0.6271804180014168,0.030672134058366392,5,0,5,0.609,121.86,335.3
monash_australian_electricity,amazon/chronos-2,cross_learning,0.6174465182215265,0.02885914602907158,5,5,1,0.045,9.03,335.3
monash_cif_2016,amazon/chronos-2,univariate,0.9369351012268844,0.011303043589082335,72,0,72,0.064,0.89,272.6
monash_cif_2016,amazon/chronos-2,cross_learning,0.8374135906353518,0.008104641215428011,72,72,1,0.051,0.71,272.6
monash_car_parts,amazon/chronos-2,univariate,0.832409033467817,0.9786500317249048,1000,0,1000,0.302,0.3,315.8
monash_car_parts,amazon/chronos-2,cross_learning,0.834015669267377,0.9848137801935799,1000,1000,10,0.487,0.49,267.5
monash_covid_deaths,amazon/chronos-2,univariate,35.42967313705938,0.03960967011021415,266,0,266,0.141,0.53,453.9
monash_covid_deaths,amazon/chronos-2,cross_learning,32.547403310340485,0.03496990761737808,266,266,3,0.152,0.57,305.9
dominick,amazon/chronos-2,univariate,0.9394032411124579,0.34561972249440814,1000,0,1000,1.039,1.04,606.5
dominick,amazon/chronos-2,cross_learning,0.9408670261703792,0.34009447724231506,1000,1000,10,0.673,0.67,350.7
ercot,amazon/chronos-2,univariate,0.8417995516641943,0.02604302222263971,8,0,8,0.046,5.81,383.8
ercot,amazon/chronos-2,cross_learning,0.7846095062475348,0.024914444068433926,8,8,1,0.051,6.4,383.8
exchange_rate,amazon/chronos-2,univariate,1.816427573959804,0.011831282159531213,8,0,8,0.057,7.1,378.0
exchange_rate,amazon/chronos-2,cross_learning,1.849119021504823,0.011790997865160104,8,8,1,0.059,7.34,378.0
monash_fred_md,amazon/chronos-2,univariate,0.4848294001713523,0.020001870252898003,107,0,107,0.117,1.1,438.8
monash_fred_md,amazon/chronos-2,cross_learning,0.4258437530385244,0.021623359688532594,107,107,2,0.156,1.46,424.7
monash_hospital,amazon/chronos-2,univariate,0.7723341360119331,0.05388136936566337,767,0,767,0.249,0.32,343.5
monash_hospital,amazon/chronos-2,cross_learning,0.7400915650294897,0.05099078151791045,767,767,8,0.423,0.55,275.7
monash_m1_monthly,amazon/chronos-2,univariate,1.0271359385952776,0.14661292554645666,617,0,617,0.314,0.51,408.6
monash_m1_monthly,amazon/chronos-2,cross_learning,0.9849438359738714,0.11839634352796818,617,617,7,0.383,0.62,295.3
monash_m1_quarterly,amazon/chronos-2,univariate,1.6627275614105514,0.08332710653051473,203,0,203,0.079,0.39,332.4
monash_m1_quarterly,amazon/chronos-2,cross_learning,1.644254554595956,0.08615300186941861,203,203,3,0.143,0.71,282.5
monash_m1_yearly,amazon/chronos-2,univariate,3.8298061405046253,0.13784970213341585,181,0,181,0.063,0.35,296.1
monash_m1_yearly,amazon/chronos-2,cross_learning,3.5518896623210634,0.12866403786628988,181,181,2,0.111,0.61,271.6
monash_m3_monthly,amazon/chronos-2,univariate,0.8017150197990658,0.08567748182050988,1000,0,1000,0.472,0.47,394.4
monash_m3_monthly,amazon/chronos-2,cross_learning,0.8139204407393016,0.08512180661838607,1000,1000,10,0.561,0.56,291.6
monash_m3_quarterly,amazon/chronos-2,univariate,1.1634608694914328,0.07049834044705788,756,0,756,0.321,0.42,328.2
monash_m3_quarterly,amazon/chronos-2,cross_learning,1.1168759123741308,0.06728276293230719,756,756,8,0.473,0.63,271.6
monash_m3_yearly,amazon/chronos-2,univariate,2.9967346267281134,0.14689318959857922,645,0,645,0.219,0.34,319.5
monash_m3_yearly,amazon/chronos-2,cross_learning,2.9381842454041807,0.14296265631991634,645,645,7,0.461,0.71,267.5
m4_quarterly,amazon/chronos-2,univariate,1.1671163070154567,0.07350785614284806,1000,0,1000,0.965,0.96,869.8
m4_quarterly,amazon/chronos-2,cross_learning,1.1291525653659213,0.0705959422184516,1000,1000,10,0.627,0.63,424.7
m4_yearly,amazon/chronos-2,univariate,3.224308206877681,0.1135068814476675,1000,0,1000,0.634,0.63,551.8
m4_yearly,amazon/chronos-2,cross_learning,3.1416258687891543,0.10925487832195874,1000,1000,10,0.484,0.48,334.9
m5,amazon/chronos-2,univariate,0.9283782860699387,0.546049538948124,1000,0,1000,3.53,3.53,1896.6
m5,amazon/chronos-2,cross_learning,0.9336402174358313,0.5497876993341401,1000,1000,10,1.739,1.74,716.7
nn5,amazon/chronos-2,univariate,0.5768261150688538,0.1487774492162267,111,0,111,0.085,0.77,465.2
nn5,amazon/chronos-2,cross_learning,0.5559393109285672,0.1448954764781894,111,111,2,0.145,1.31,440.2
monash_nn5_weekly,amazon/chronos-2,univariate,0.8829451653014313,0.08162718246440166,111,0,111,0.054,0.48,288.8
monash_nn5_weekly,amazon/chronos-2,cross_learning,0.8757162733539795,0.08011524019927929,111,111,2,0.085,0.77,282.5
monash_tourism_monthly,amazon/chronos-2,univariate,1.4230475869369459,0.07257786495183007,366,0,366,0.219,0.6,552.2
monash_tourism_monthly,amazon/chronos-2,cross_learning,1.3775405903788294,0.07192656493207246,366,366,4,0.204,0.56,335.1
monash_tourism_quarterly,amazon/chronos-2,univariate,1.5662252806559673,0.06475901644232285,427,0,427,0.151,0.35,384.2
monash_tourism_quarterly,amazon/chronos-2,cross_learning,1.5515426914286399,0.06089669221321091,427,427,5,0.253,0.59,287.2
monash_tourism_yearly,amazon/chronos-2,univariate,3.6676272337299793,0.1512614049677378,518,0,518,0.189,0.36,319.5
monash_tourism_yearly,amazon/chronos-2,cross_learning,3.653338848326801,0.14969575715699843,518,518,6,0.289,0.56,267.5
monash_traffic,amazon/chronos-2,univariate,0.8188746603770111,0.241695070904214,862,0,862,9.848,11.42,7026.4
monash_traffic,amazon/chronos-2,cross_learning,0.8316217381143385,0.24277914132926032,862,862,9,9.234,10.71,2176.1
monash_weather,amazon/chronos-2,univariate,0.7535172976434928,0.1252019464635491,1000,0,1000,12.811,12.81,7026.4
monash_weather,amazon/chronos-2,cross_learning,0.7559239276076651,0.1259123456299054,1000,1000,10,11.287,11.29,2176.1
