,MASE_C2,MASE_T5,MASE_C2CL,MASE_C2/T5,WQL_C2,WQL_T5,WQL_C2CL,WQL_C2/T5
monash_australian_electricity,0.6367427897631751,0.8184792389268415,0.5996799774177383,0.7779583885329184,0.0282267226583963,0.0375604675026172,0.0266525646870409,0.7515008341264515
monash_cif_2016,0.9592425306033396,0.9155129155358088,0.8951927585669609,1.0477651536373334,0.0108557905544239,0.0095801409226347,0.0102482690951856,1.133155622875574
monash_car_parts,0.8276123780589747,0.8620312077703631,0.8317425726448352,0.960072408746764,0.9303832971993162,0.9609428792181648,0.9565399720467008,0.9681983365715637
monash_covid_deaths,31.658015600616995,35.77942125220395,29.33644607014392,0.8848107233894096,0.0305961206677576,0.0402615775223545,0.0286018127903174,0.7599334787805984
dominick,0.9414429923924084,0.9243427898862954,0.9418829988914244,1.0184998495073636,0.3371170876962994,0.3598994092262765,0.3381092759236854,0.9366980857819264
ercot,1.2224252485346032,0.5975170841319511,1.216349751784224,2.045841501436722,0.0411257183233437,0.0163391840094173,0.0410134282809193,2.5169995208842963
exchange_rate,2.563527110791233,1.6621881028153769,3.586940701098136,1.5422605338404172,0.0157007843481833,0.01114979995534,0.0180307861539993,1.408167358255041
monash_fred_md,0.5982906391993592,0.4736752786117532,0.5703824002560983,1.2630818330921312,0.0433880357327046,0.0228431573156726,0.0382113393268097,1.8993887374288771
monash_hospital,0.7711101460936234,0.819185449839669,0.7605955207563988,0.9413132841221058,0.0518193484695893,0.0618389912555911,0.0507667859574349,0.8379720855311351
monash_m1_monthly,1.0679200056842324,1.0876748365527609,1.0471905128981471,0.9818375582438418,0.1695940571265203,0.1592203334541996,0.1455702902960633,1.0651532593059463
monash_m1_quarterly,1.7141963863357466,1.6515563410371443,1.7265669027497668,1.0379278888295542,0.0943490035568745,0.0744082593768042,0.0844367871502806,1.2679910045884848
monash_m1_yearly,3.558055997625058,3.150087271947623,3.5486314549334703,1.1295102930355316,0.1223006249425834,0.1155200415656802,0.1195974655579944,1.0586961646222055
monash_m3_monthly,0.8409079784610325,0.827028135987215,0.8194967543305721,1.0167827935590719,0.0884943298049272,0.0942897703893985,0.086732832815669,0.9385358500658423
monash_m3_quarterly,1.173274934885514,1.1247987659735068,1.1305163149387438,1.0430976369982514,0.0712669555395554,0.0711168559047659,0.0680783661082974,1.0021106056065034
monash_m3_yearly,3.1352746486052694,2.9107507412702853,3.147751179776924,1.077136081819565,0.1482900249624833,0.1531844799666243,0.1520539271394639,0.9680486234296882
m4_quarterly,1.1079877136957603,1.1025857676455144,1.1052935203234242,1.0048993431701747,0.0706474301372777,0.0765122613645513,0.0711266783792525,0.9233478252677705
m4_yearly,2.91719229279359,2.9725677790710647,2.9342854982736464,0.9813711610993846,0.1070631718948282,0.1156272049719581,0.1080364325867562,0.9259340993392788
m5,0.9289290238918958,0.956309858126778,0.9293804947250688,0.9713682401136009,0.5461291266932806,0.6008812105036095,0.545564569021976,0.9088803529662041
nn5,0.5489107875768539,0.5647110369425152,0.546791787753667,0.9720206471415755,0.142915234527203,0.1599223236530226,0.1423007592220794,0.8936540644399387
monash_nn5_weekly,0.8668876719630005,0.8984972540889147,0.8700464277544564,0.9648195005804814,0.0804070948299387,0.0903876019362378,0.0804544162250079,0.8895810167268333
monash_tourism_monthly,1.6727959523322309,1.4912187384361528,1.70091547596845,1.1217643054073334,0.101947674525711,0.0878702613398185,0.0977748827782477,1.16020679774072
monash_tourism_quarterly,1.8160452638408864,1.5704063632479168,1.8257401939022384,1.1564174129331333,0.0786054102950106,0.0667600722139128,0.0763891353603628,1.1774314749562125
monash_tourism_yearly,3.6465527342009336,3.228849957015042,3.6778247286880177,1.1293658060134955,0.1435356369171475,0.1324646883533309,0.1386918559623438,1.083576602198213
monash_traffic,0.8345581861730903,0.7484875753050029,0.8622902896558177,1.1149927048996295,0.2490314784661584,0.2448266302783165,0.2556084459298272,1.017174799093799
monash_weather,0.7916793050736423,0.8076109755922157,0.7876540914587741,0.9802730881574624,0.132146412375717,0.1461363885862692,0.1315929179015096,0.9042676752457622
