,monash_m1_yearly,m4_quarterly,monash_m3_monthly,m5,ercot,val_score,lr,rank,context
lr0.001_r16_c512,2.947843074798584,1.870802640914917,4.079668045043945,6.918796539306641,1.0580177307128906,1.0119285718120858,0.001,16.0,512.0
lr0.001_r32_c1024,2.9207396507263184,1.897153377532959,4.07077693939209,6.809219837188721,1.177680253982544,1.0310819729336236,0.001,32.0,1024.0
lr0.001_r8_c512,2.996204376220703,1.841847896575928,4.067310333251953,6.920371055603027,1.1704432964324951,1.032134222508253,0.001,8.0,512.0
lr0.001_r16_c1024,3.002469062805176,1.8543246984481807,4.043182373046875,6.811856269836426,1.2082990407943726,1.0360464747175668,0.001,16.0,1024.0
lr0.0003_r32_c1024,2.9921629428863525,1.8671574592590328,4.047241687774658,6.784666538238525,1.2082818746566772,1.0361392924527089,0.0003,32.0,1024.0
lr0.0001_r32_c512,2.921436309814453,1.847854256629944,4.059027671813965,6.918261528015137,1.2254561185836792,1.0365968931721454,0.0001,32.0,512.0
lr0.0003_r32_c512,2.991450548171997,1.8649107217788696,4.04849910736084,6.90679931640625,1.1909304857254028,1.03660466576807,0.0003,32.0,512.0
lr0.0003_r16_c512,2.9473302364349365,1.8542392253875728,4.045410633087158,6.910680294036865,1.2236735820770264,1.037916550510289,0.0003,16.0,512.0
lr0.0003_r8_c512,2.9397964477539062,1.8471200466156008,4.064736366271973,6.91286563873291,1.233170509338379,1.0392473536702733,0.0003,8.0,512.0
lr0.001_r8_c1024,2.9439034461975098,1.8751652240753172,4.048750400543213,6.789359092712402,1.2887823581695557,1.0473026889073433,0.001,8.0,1024.0
lr0.001_r32_c512,3.1991238594055176,1.9316658973693848,4.098490238189697,6.922537326812744,1.1325299739837646,1.0504953194354412,0.001,32.0,512.0
lr0.0001_r16_c512,2.947770118713379,1.8340568542480469,4.079194068908691,6.9372334480285645,1.316333293914795,1.0534654936948045,0.0001,16.0,512.0
lr0.0003_r16_c1024,2.9479668140411377,1.8666316270828247,4.0494256019592285,6.801014423370361,1.3578335046768188,1.058017120090972,0.0003,16.0,1024.0
lr0.0001_r8_c512,2.951343536376953,1.8362518548965452,4.10191822052002,6.949751853942871,1.4233766794204712,1.0721593954074946,0.0001,8.0,512.0
lr0.0001_r32_c1024,2.915907859802246,1.8534170389175413,4.057177543640137,6.7961506843566895,1.4785712957382202,1.0725782134463577,0.0001,32.0,1024.0
lr0.0003_r8_c1024,2.9329912662506104,1.8576505184173584,4.065460205078125,6.794081211090088,1.48106050491333,1.0750566039056442,0.0003,8.0,1024.0
lr0.0001_r16_c1024,2.935572385787964,1.837886095046997,4.074648380279541,6.803983688354492,1.5891945362091064,1.0889854947960729,0.0001,16.0,1024.0
lr0.0001_r8_c1024,2.945628881454468,1.839784383773804,4.092788696289063,6.813348293304443,1.735152244567871,1.1105707131134495,0.0001,8.0,1024.0
