,monash_m1_yearly,m4_quarterly,monash_m3_monthly,m5,ercot,val_score,lr,rank,context
lr0.001_r32_c512,3.973010778427124,2.663973093032837,4.628661632537842,1.4715933799743652,1.3461352586746216,1.000057762104019,0.001,32.0,512.0
lr0.001_r16_c512,3.982970714569092,2.671376943588257,4.627764701843262,1.472875714302063,1.3579570055007937,1.0030022636329814,0.001,16.0,512.0
lr0.001_r32_c1024,3.986398458480835,2.6680383682250977,4.631856918334961,1.477300763130188,1.3694729804992676,1.0053999013515742,0.001,32.0,1024.0
lr0.001_r8_c512,3.980787992477417,2.6774635314941406,4.627325057983398,1.473496913909912,1.3820855617523191,1.0069551657991656,0.001,8.0,512.0
lr0.001_r16_c1024,3.98614764213562,2.684372901916504,4.630303859710693,1.4781382083892822,1.3874584436416626,1.0092922233514048,0.001,16.0,1024.0
lr0.0003_r32_c512,3.985339641571045,2.68388295173645,4.637333869934082,1.4756430387496948,1.3951278924942017,1.010292897459487,0.0003,32.0,512.0
lr0.001_r8_c1024,3.9796125888824463,2.6862902641296387,4.629123687744141,1.4775911569595337,1.3989882469177246,1.010650398234417,0.001,8.0,1024.0
lr0.0003_r16_c512,3.991844415664673,2.691849708557129,4.645757675170898,1.4789223670959473,1.4034663438796997,1.0132449485380561,0.0003,16.0,512.0
lr0.0003_r32_c1024,3.989547252655029,2.688534736633301,4.6321868896484375,1.4820075035095217,1.412113904953003,1.0139531105637334,0.0003,32.0,1024.0
lr0.0003_r8_c512,3.999948978424072,2.694241523742676,4.6697096824646,1.4838255643844604,1.4013177156448364,1.0152402835243193,0.0003,8.0,512.0
lr0.0003_r16_c1024,3.995181560516357,2.69049072265625,4.643768787384033,1.4860610961914062,1.4197078943252563,1.0165380321595503,0.0003,16.0,1024.0
lr0.0001_r32_c512,4.017092227935791,2.6885862350463867,4.6986002922058105,1.498012900352478,1.4017622470855713,1.0189376627983517,0.0001,32.0,512.0
lr0.0003_r8_c1024,3.996330976486206,2.691813945770264,4.661597728729248,1.4903781414031982,1.4283058643341064,1.0192965926759636,0.0003,8.0,1024.0
lr0.0001_r32_c1024,4.013875484466553,2.6892385482788086,4.696731090545654,1.5088374614715576,1.444738268852234,1.0263911262647307,0.0001,32.0,1024.0
lr0.0001_r16_c512,4.047931671142578,2.702744722366333,4.738216876983643,1.5289925336837769,1.4161293506622314,1.0295822881013144,0.0001,16.0,512.0
lr0.0001_r16_c1024,4.040962219238281,2.705775737762451,4.732049465179443,1.5287590026855469,1.4580802917480469,1.035185175658159,0.0001,16.0,1024.0
lr0.0001_r8_c512,4.080833911895752,2.719322919845581,4.784156322479248,1.5693954229354858,1.4691928625106812,1.047596476361318,0.0001,8.0,512.0
lr0.0001_r8_c1024,4.07505464553833,2.719280958175659,4.776862621307373,1.5752674341201782,1.5207792520523071,1.0550157096190986,0.0001,8.0,1024.0
