dataset,MASE,WQL,n_series,latency_s
monash_australian_electricity,0.5871222582425139,0.027282039470181596,5,0.313
monash_cif_2016,0.8304751597941679,0.008002417649771316,72,0.281
monash_car_parts,0.8475846883641981,0.9818443436540163,1000,1.901
monash_covid_deaths,28.50084921361581,0.02855358301052056,266,0.417
dominick,0.947322306038102,0.33794332401449423,1000,0.979
ercot,1.4022541867344556,0.04601364995936527,8,0.324
exchange_rate,1.7384550469172624,0.01211977257234834,8,0.422
monash_fred_md,0.8046293600469195,0.04117364210681104,107,0.344
monash_hospital,0.7738338466744568,0.05235382250872378,767,0.977
monash_m1_monthly,1.0097982679988398,0.16542971511922627,617,0.832
monash_m1_quarterly,1.8948503775221375,0.0895492023876381,203,0.416
monash_m1_yearly,3.5248139148949384,0.10484171529796998,181,0.453
monash_m3_monthly,0.8423589273496865,0.08844809432623085,1000,0.629
monash_m3_quarterly,1.1365393713405618,0.0685130976831997,756,0.603
monash_m3_yearly,3.4267213474650355,0.1586843458585425,645,0.489
m4_quarterly,1.2810807523198358,0.07636145094908545,1000,0.86
m4_yearly,3.1694524967735354,0.1150329875367196,1000,0.704
m5,0.9323666714657959,0.5461991445515939,1000,2.085
nn5,0.5599823375977182,0.14618690142333524,111,0.341
monash_nn5_weekly,0.8569087807994167,0.07983586472095923,111,0.368
monash_tourism_monthly,1.5256680912215732,0.09869008602789162,366,0.428
monash_tourism_quarterly,1.5512693547703498,0.07270110460356484,427,0.717
monash_tourism_yearly,3.695969925569796,0.1411179956260841,518,0.576
monash_traffic,0.8306978500936972,0.24397100128393814,862,9.274
monash_weather,0.7766420852147148,0.13024418579300498,1000,10.943
