dataset,MASE,WQL,n_series,latency_s
monash_australian_electricity,0.6367427897631751,0.02822672265839635,5,0.329
monash_cif_2016,0.9592425306033395,0.010855790554423943,72,0.234
monash_car_parts,0.8276123780589747,0.9303832971993162,1000,0.551
monash_covid_deaths,31.658015600616995,0.030596120667757607,266,0.467
dominick,0.9414429923924084,0.33711708769629944,1000,0.916
ercot,1.2224252485346032,0.041125718323343746,8,0.312
exchange_rate,2.563527110791233,0.015700784348183394,8,0.351
monash_fred_md,0.5982906391993592,0.043388035732704694,107,0.342
monash_hospital,0.7711101460936234,0.05181934846958934,767,0.467
monash_m1_monthly,1.0679200056842324,0.1695940571265203,617,0.501
monash_m1_quarterly,1.7141963863357466,0.09434900355687455,203,0.4
monash_m1_yearly,3.558055997625058,0.12230062494258347,181,0.247
monash_m3_monthly,0.8409079784610325,0.08849432980492725,1000,0.607
monash_m3_quarterly,1.173274934885514,0.07126695553955548,756,2.102
monash_m3_yearly,3.1352746486052694,0.1482900249624833,645,0.868
m4_quarterly,1.1079877136957603,0.07064743013727773,1000,0.989
m4_yearly,2.91719229279359,0.10706317189482828,1000,0.745
m5,0.9289290238918958,0.5461291266932806,1000,2.847
nn5,0.5489107875768539,0.142915234527203,111,0.467
monash_nn5_weekly,0.8668876719630005,0.08040709482993878,111,0.324
monash_tourism_monthly,1.6727959523322307,0.10194767452571106,366,0.527
monash_tourism_quarterly,1.8160452638408862,0.0786054102950106,427,0.362
monash_tourism_yearly,3.6465527342009336,0.14353563691714755,518,0.975
monash_traffic,0.8345581861730903,0.24903147846615845,862,10.317
monash_weather,0.7916793050736423,0.132146412375717,1000,12.79
