dataset,MASE,WQL,n_series,latency_s
monash_australian_electricity,0.5996799774177383,0.026652564687040962,5,0.894
monash_cif_2016,0.8951927585669609,0.010248269095185664,72,0.238
monash_car_parts,0.8317425726448352,0.9565399720467008,1000,1.056
monash_covid_deaths,29.33644607014392,0.028601812790317465,266,0.484
dominick,0.9418829988914245,0.33810927592368545,1000,0.902
ercot,1.216349751784224,0.04101342828091934,8,0.275
exchange_rate,3.5869407010981353,0.018030786153999334,8,0.321
monash_fred_md,0.5703824002560983,0.03821133932680976,107,0.335
monash_hospital,0.7605955207563988,0.05076678595743493,767,0.776
monash_m1_monthly,1.0471905128981471,0.14557029029606336,617,0.654
monash_m1_quarterly,1.7265669027497668,0.08443678715028063,203,0.445
monash_m1_yearly,3.5486314549334703,0.11959746555799446,181,0.265
monash_m3_monthly,0.8194967543305721,0.08673283281566906,1000,0.709
monash_m3_quarterly,1.1305163149387438,0.06807836610829746,756,0.831
monash_m3_yearly,3.147751179776924,0.1520539271394639,645,0.519
m4_quarterly,1.1052935203234242,0.07112667837925259,1000,0.901
m4_yearly,2.9342854982736464,0.10803643258675626,1000,0.734
m5,0.9293804947250689,0.545564569021976,1000,2.168
nn5,0.546791787753667,0.14230075922207946,111,0.389
monash_nn5_weekly,0.8700464277544564,0.08045441622500799,111,0.417
monash_tourism_monthly,1.70091547596845,0.09777488277824774,366,0.48
monash_tourism_quarterly,1.8257401939022384,0.07638913536036283,427,0.523
monash_tourism_yearly,3.6778247286880177,0.1386918559623438,518,0.584
monash_traffic,0.8622902896558177,0.2556084459298272,862,8.782
monash_weather,0.7876540914587741,0.13159291790150968,1000,10.429
