dataset,MASE,WQL,n_series,latency_s
monash_australian_electricity,0.8184792389268415,0.037560467502617226,5,1.078
monash_cif_2016,0.9155129155358088,0.00958014092263479,72,0.741
monash_car_parts,0.8620312077703631,0.9609428792181648,1000,7.463
monash_covid_deaths,35.77942125220395,0.040261577522354576,266,5.662
dominick,0.9243427898862954,0.35989940922627656,1000,10.383
ercot,0.5975170841319511,0.016339184009417362,8,0.626
exchange_rate,1.6621881028153767,0.011149799955340097,8,0.738
monash_fred_md,0.4736752786117532,0.022843157315672644,107,2.201
monash_hospital,0.819185449839669,0.061838991255591114,767,6.758
monash_m1_monthly,1.0876748365527609,0.15922033345419964,617,6.678
monash_m1_quarterly,1.6515563410371443,0.07440825937680426,203,1.371
monash_m1_yearly,3.150087271947623,0.1155200415656802,181,1.878
monash_m3_monthly,0.827028135987215,0.09428977038939854,1000,12.399
monash_m3_quarterly,1.1247987659735068,0.07111685590476599,756,3.448
monash_m3_yearly,2.9107507412702853,0.1531844799666243,645,2.297
m4_quarterly,1.1025857676455144,0.07651226136455133,1000,7.112
m4_yearly,2.9725677790710647,0.11562720497195812,1000,3.763
m5,0.9563098581267779,0.6008812105036095,1000,31.893
nn5,0.5647110369425152,0.1599223236530226,111,6.427
monash_nn5_weekly,0.8984972540889147,0.09038760193623784,111,0.838
monash_tourism_monthly,1.4912187384361528,0.08787026133981854,366,7.005
monash_tourism_quarterly,1.5704063632479168,0.06676007221391284,427,2.857
monash_tourism_yearly,3.2288499570150426,0.13246468835333097,518,1.91
monash_traffic,0.7484875753050029,0.24482663027831653,862,24.301
monash_weather,0.8076109755922157,0.14613638858626926,1000,34.349
