dataset,w_c2,w_t5,ratio_t5_over_c2
monash_australian_electricity,443.33334,404.308,0.91197294
monash_australian_electricity,815.3333,257.55197,0.3158855
monash_australian_electricity,345.33334,279.8409,0.8103501
monash_australian_electricity,341.91666,318.8093,0.93241817
monash_australian_electricity,49.708332,33.900284,0.68198395
monash_cif_2016,100.0,130.66553,1.3066553
monash_cif_2016,28.333334,36.870396,1.301308
monash_cif_2016,67.666664,95.45309,1.4106368
monash_cif_2016,129.66667,112.23907,0.8655969
monash_cif_2016,31.833334,31.072123,0.9760876
monash_cif_2016,132.66667,119.10767,0.8977965
monash_cif_2016,45.666668,49.916992,1.0930728
monash_cif_2016,27.166666,30.10631,1.1082077
monash_cif_2016,57.166668,88.535576,1.5487273
monash_cif_2016,2.0885417,2.2568004,1.0805627
monash_cif_2016,23.333334,33.716732,1.4450028
monash_cif_2016,43.5,54.61659,1.2555537
monash_cif_2016,75.0,86.446846,1.1526246
monash_cif_2016,59.333332,108.73112,1.832547
monash_cif_2016,146.33333,189.64062,1.2959497
monash_cif_2016,330.66666,123.64396,0.37392327
monash_cif_2016,47.666668,52.65552,1.1046612
monash_cif_2016,95.333336,97.58532,1.0236222
monash_cif_2016,126.0,59.958485,0.47586098
monash_cif_2016,141.33333,134.92575,0.95466334
monash_cif_2016,18.708334,41.250217,2.2049112
monash_cif_2016,15.708333,51.819965,3.298884
monash_cif_2016,14.333333,17.10353,1.1932696
monash_cif_2016,14.666667,18.168146,1.2387372
monash_cif_2016,156.0,176.48584,1.1313195
monash_cif_2016,117.333336,133.65613,1.1391147
monash_cif_2016,254.0,276.6924,1.0893402
monash_cif_2016,776.0,386.46838,0.49802628
monash_cif_2016,141.33333,115.064964,0.81413895
monash_cif_2016,138.66667,140.047,1.0099542
monash_cif_2016,77.166664,52.41196,0.6792047
monash_cif_2016,162.33333,109.00057,0.67146146
monash_cif_2016,227.33333,223.31865,0.9823401
monash_cif_2016,304.33334,380.84482,1.2514068
monash_cif_2016,63.0,82.94873,1.3166465
monash_cif_2016,90.5,84.62894,0.93512636
monash_cif_2016,343.33334,366.03467,1.0661204
monash_cif_2016,53.333332,59.233105,1.1106207
monash_cif_2016,395.33334,420.78238,1.0643736
monash_cif_2016,230.33333,236.6488,1.0274189
monash_cif_2016,8.229167,7.2955856,0.88655216
monash_cif_2016,255.0,289.38174,1.1348304
monash_cif_2016,68.666664,73.375435,1.0685743
monash_cif_2016,21.75,17.567469,0.8076997
monash_cif_2016,509.0,420.82474,0.8267677
monash_cif_2016,333.33334,389.92886,1.1697866
monash_cif_2016,96.666664,114.6214,1.1857387
monash_cif_2016,292.0,233.4881,0.79961675
monash_cif_2016,0.2594401,0.23373228,0.90091044
monash_cif_2016,0.21223958,0.14761664,0.6955189
monash_cif_2016,2095445.4,1978474.4,0.94417846
monash_cif_2016,1990656.0,1020755.94,0.51277363
monash_cif_2016,80.0,487.84814,6.0981016
monash_cif_2016,18175318.0,130486300.0,7.179313
monash_cif_2016,22369622.0,50083490.0,2.2389064
monash_cif_2016,226.625,86.41015,0.38129133
monash_cif_2016,12895.333,10825.987,0.83952755
monash_cif_2016,1140.2916,745.43866,0.65372634
monash_cif_2016,23178.666,16047.491,0.6923389
