dataset,freq,arm,MASE,WQL,n_series
monash_australian_electricity,subhourly,univariate,0.6271804180014168,0.030672134058366392,5
monash_australian_electricity,subhourly,native,0.6174465182215265,0.02885914602907158,5
monash_australian_electricity,subhourly,foreign_difffreq,0.543457504529048,0.02784392325668828,5
monash_cif_2016,monthly,univariate,0.9369351012268844,0.011303043589082335,72
monash_cif_2016,monthly,native,0.8374135906353518,0.008104641215428011,72
monash_cif_2016,monthly,foreign_samefreq,0.8834619459485247,0.009413171297610955,72
monash_cif_2016,monthly,foreign_difffreq,0.8751709104953044,0.00872821636709209,72
monash_car_parts,monthly,univariate,0.8940903379808541,1.0264795521009873,100
monash_car_parts,monthly,native,0.8957706891017735,1.0214469106119983,100
monash_car_parts,monthly,foreign_samefreq,0.9065160812912952,0.9982143486752629,100
monash_car_parts,monthly,foreign_difffreq,0.9093488282049752,1.0132149749627075,100
monash_covid_deaths,daily,univariate,43.03803157742434,0.027020498637797874,100
monash_covid_deaths,daily,native,39.47622616241893,0.023617583012749868,100
monash_covid_deaths,daily,foreign_samefreq,37.50806862333597,0.023146036464891148,100
monash_covid_deaths,daily,foreign_difffreq,38.94786071978218,0.023644297535745554,100
dominick,weekly,univariate,0.8306092460527256,0.24871269403905805,100
dominick,weekly,native,0.8595546257389911,0.2524395605258728,100
dominick,weekly,foreign_samefreq,0.8161912023281327,0.2506605784391744,100
dominick,weekly,foreign_difffreq,0.8440461301686973,0.2518358130156317,100
ercot,hourly,univariate,0.8417995516641943,0.02604302222263971,8
ercot,hourly,native,0.7846095062475348,0.024914444068433926,8
ercot,hourly,foreign_samefreq,0.8633424920248042,0.02746799593085462,8
ercot,hourly,foreign_difffreq,0.7999140701692671,0.024091000399714943,8
exchange_rate,daily,univariate,1.816427573959804,0.011831282159531213,8
exchange_rate,daily,native,1.849119021504823,0.011790997865160104,8
exchange_rate,daily,foreign_samefreq,1.6904948945675666,0.011162754691480807,8
exchange_rate,daily,foreign_difffreq,1.8186148413634122,0.011695047245568545,8
monash_fred_md,monthly,univariate,0.4532962342393796,0.02001214665829168,100
monash_fred_md,monthly,native,0.4063378126135631,0.02206673379872446,100
monash_fred_md,monthly,foreign_samefreq,0.49078005965965077,0.026801247630405475,100
monash_fred_md,monthly,foreign_difffreq,0.48631701801705013,0.027395021928923364,100
monash_hospital,monthly,univariate,0.7871700984868424,0.061304137440352756,100
monash_hospital,monthly,native,0.7534604086394828,0.056076162468301126,100
monash_hospital,monthly,foreign_samefreq,0.7695171641840619,0.06042883570974241,100
monash_hospital,monthly,foreign_difffreq,0.8072105040376031,0.06857370609142224,100
monash_m1_monthly,monthly,univariate,1.025555552256698,0.27255153078025507,100
monash_m1_monthly,monthly,native,0.9751727289914286,0.21171693952270557,100
monash_m1_monthly,monthly,foreign_samefreq,0.9910380941347247,0.22626167589930363,100
monash_m1_monthly,monthly,foreign_difffreq,0.9975249650016517,0.24887023368282213,100
monash_m1_quarterly,quarterly,univariate,1.5773868492384042,0.07959064981628931,100
monash_m1_quarterly,quarterly,native,1.5504088240828455,0.07316486040572573,100
monash_m1_quarterly,quarterly,foreign_samefreq,1.608672727719897,0.07892281988165505,100
monash_m1_quarterly,quarterly,foreign_difffreq,1.6281784105554602,0.08573661366947703,100
monash_m1_yearly,yearly,univariate,3.6356807034327314,0.07104619956719219,100
monash_m1_yearly,yearly,native,3.374367778336027,0.0666344749351271,100
monash_m1_yearly,yearly,foreign_samefreq,3.544594245000973,0.06541814153575713,100
monash_m1_yearly,yearly,foreign_difffreq,3.5465304050585074,0.066531066511475,100
monash_m3_monthly,monthly,univariate,0.8117371406404598,0.08898468267164956,100
monash_m3_monthly,monthly,native,0.8815795770994701,0.09576819770608808,100
monash_m3_monthly,monthly,foreign_samefreq,0.8652396799339888,0.09310363488814077,100
monash_m3_monthly,monthly,foreign_difffreq,0.8941050861988847,0.09597405090995918,100
monash_m3_quarterly,quarterly,univariate,1.2528011623102693,0.07383501043208705,100
monash_m3_quarterly,quarterly,native,1.2212850170737932,0.07221523359723173,100
